20230101;2;9;10;9625;1540;8085;2183;1771;2597;1534;77;F1
20230201;3;10;10;69160;6224;62936;15734;17937;27849;1416;91;F2
20230301;5;10;5;39534;9884;29650;7116;8788;11267;2479;66;F3
20230401;5;3;2;31920;6065;25855;5171;7446;10549;2689;95;F4
20230501;5;10;7;5580;949;4631;1158;1111;1632;730;45;F5
20230601;4;6;10;9828;2850;6978;2093;1612;2052;1221;91;F6
20230701;4;4;8;41328;5786;35542;9241;9994;14729;1578;56;F7
20230801;5;3;2;20976;1888;19088;4390;5879;8378;441;57;F8
20230901;2;7;2;53924;1618;52306;10461;15483;17156;9206;68;F9
20231001;1;3;8;21606;5185;16421;5747;2775;4483;3416;39;F10
20231101;2;3;2;24768;2229;22539;7212;5364;8277;1686;43;F11
20231201;3;1;5;20031;3005;17026;3405;5040;7628;953;33;F12
20240101;1;4;10;8614;1809;6805;2450;1481;2482;392;59;F13
20240201;3;4;5;11988;1439;10549;3587;1810;3133;2019;54;F14
20240301;2;10;5;33859;5756;28103;8431;7475;8262;3935;49;F15
20240401;2;8;8;22512;5853;16659;5997;3199;6077;1386;67;F16
20240501;2;3;3;8268;1240;7028;1687;1549;2724;1068;78;F17
20240601;5;9;6;22816;4791;18025;3785;4414;7262;2564;46;F18
20240701;4;4;1;13350;935;12415;4097;2246;3660;2412;50;F19
20240801;5;1;9;26904;6726;20178;7668;3378;7381;1751;76;F20
20240901;1;9;8;25774;3351;22423;6951;5725;6344;3403;49;F21
20241001;4;1;9;6500;520;5980;1854;1073;2228;825;52;F22
20241101;4;5;6;14760;1919;12841;3339;2376;5131;1995;36;F23
20241201;3;9;3;19669;3540;16129;5645;2936;5137;2411;89;F24
20230101;1;8;4;22356;1788;20568;6787;4548;8269;964;92;F25
20230201;4;3;2;7504;900;6604;1453;1288;2163;1700;56;F26
20230301;2;8;1;50142;14040;36102;10109;7018;13256;5719;61;F27
20230401;2;4;3;19008;2851;16157;4039;4726;6301;1091;88;F28
20230501;1;6;2;45570;8203;37367;13078;6072;13845;4372;98;F29
20230601;5;2;5;15470;774;14696;4556;3549;5070;1521;85;F30
20230701;3;2;5;31688;9190;22498;5175;5543;8488;3292;68;F31
20230801;2;8;7;15580;4674;10906;3708;2447;2951;1800;76;F32
20230901;4;2;3;14000;2800;11200;3360;2352;3293;2195;35;F33
20231001;4;9;10;19941;5185;14756;3246;3223;5295;2992;51;F34
20231101;5;10;6;15456;1855;13601;4352;3145;3700;2404;96;F35
20231201;1;3;7;31929;8621;23308;5128;5636;10544;2000;87;F36
20240101;4;6;8;11460;2636;8824;2824;1740;3540;720;60;F37
20240201;2;5;10;58144;12792;45352;9070;12336;20318;3628;79;F38
20240301;1;2;8;33210;5314;27896;6137;8486;9356;3917;45;F39
20240401;3;3;10;10272;2054;8218;1972;2249;2748;1249;96;F40
20240501;1;2;7;52780;8973;43807;11390;9725;16209;6483;91;F41
20240601;5;2;5;17871;1787;16084;3699;3839;6688;1858;37;F42
20240701;1;4;10;37536;1126;36410;7282;11069;11651;6408;48;F43
20240801;2;3;2;33670;6061;27609;5522;8172;12148;1767;70;F44
20240901;5;9;5;28576;4572;24004;6001;7021;8461;2521;94;F45
20241001;2;9;9;41528;3322;38206;10316;8367;16176;3347;58;F46
20241101;2;8;1;24605;7135;17470;4018;5246;8071;135;95;F47
20241201;3;7;10;21006;3151;17855;3571;4857;6713;2714;54;F48
20230101;1;1;8;20335;1017;19318;4636;4551;8369;1762;83;F49
20230201;2;10;4;15624;312;15312;4747;3381;4860;2324;84;F50
20230301;3;9;6;17556;1580;15976;4633;3630;5104;2609;77;F51
20230401;5;1;8;42660;853;41807;10452;10347;18499;2509;54;F52
20230501;4;3;1;24500;3185;21315;5755;5757;8869;934;35;F53
20230601;3;5;10;11808;1535;10273;3390;2134;3029;1720;32;F54
20230701;1;5;10;69828;9078;60750;17010;10935;23620;9185;92;F55
